-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2011 through 12/31/2021 ,,,,,,,,,,,,,,
Location: Latitude  19.6609   Longitude 78.5768 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 334.55 meters,,,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) ,,,,,,,,,,,,,,
WD50M                   MERRA-2 Wind Direction at 50 Meters (Degrees) ,,,,,,,,,,,,,,
WS50M                   MERRA-2 Wind Speed at 50 Meters (m/s) ,,,,,,,,,,,,,,
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,,,,,,,
WS10M_RANGE             MERRA-2 Wind Speed at 10 Meters Range (m/s) ,,,,,,,,,,,,,,
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WD10M,2011,65.75,97.56,34.38,145.19,306.25,265,264.94,252.31,281.94,36.06,58.88,63.81,300.12
WD10M,2012,72.69,62.06,11.88,262.94,328.62,279.88,265.56,267.12,277.56,57.44,47.94,73.62,303.94
WD10M,2013,84.25,118.56,127.81,201.56,300.19,266.25,264.44,276.38,281.25,9.81,55.25,89.06,277.12
WD10M,2014,108.94,118.94,166.94,231.62,264.81,279.56,271.75,283,287.75,45,64.81,70.88,289
WD10M,2015,73.88,118.88,90.19,242.31,296.94,267.38,279.75,289.94,302.56,62.81,75.5,62.94,304.88
WD10M,2016,77.12,138.56,125.25,237.88,273.19,269.62,260.94,275.38,311.25,337.44,28.25,40.38,293.31
WD10M,2017,74.44,64.25,205.56,300.44,274.44,268,267,279.44,292.38,37.12,62.94,74,303.06
WD10M,2018,46.19,99.44,94.25,212.12,209.75,257.75,268.25,282.94,300.81,53.62,74.25,53.5,289.12
WD10M,2019,82.19,71.56,75.31,169.06,329.06,256.31,258.19,272.25,245.56,48.06,58.38,81.06,294.75
WD10M,2020,72.5,76.81,82.25,151.5,32.31,269,245.25,259.62,311.06,27.56,55.56,71.38,28.06
WD10M,2021,88.88,70.69,66.81,123.12,242.62,269.81,256.19,272.62,261.25,26.75,54.88,50.88,342.44
WD50M,2011,70.25,99.62,37.38,143.19,304.5,264.5,263.56,250.25,281.38,36.75,59.38,64.69,303.38
WD50M,2012,71.31,63.12,9.81,256.06,326.94,278.12,264.88,266.06,275.19,57.56,49.44,75.88,304.44
WD50M,2013,82.5,118.06,125.19,200.38,299.81,265.81,264.25,275.81,278.75,9,54.69,93.75,276.75
WD50M,2014,106.94,114.62,159.38,226.44,262.94,278.38,271.06,282.38,287.88,48.31,69.25,73,290.25
WD50M,2015,74.31,118.75,87.31,238.88,290.62,266.31,278.75,289.44,301.19,66.69,77.5,64.25,308.38
WD50M,2016,78.38,135.69,122.94,233.06,271.31,267.62,259.56,275.25,309.81,335.44,27.75,41.25,294.12
WD50M,2017,74.38,65.38,198.44,298.88,270.56,265.25,266.81,277.31,289.12,37.88,65.56,75.19,303.5
WD50M,2018,48.12,102.06,95.56,207.5,207.88,254.69,267.69,282.62,299.75,55.69,76.5,55.5,289.69
WD50M,2019,84.62,72.44,72.38,168.31,327.25,253.62,257.12,271.88,244.5,47.81,58.38,79.5,302.81
WD50M,2020,73,77.56,80.75,146.38,36.69,268,241.69,258.81,306.25,26.69,54.94,71.5,41.38
WD50M,2021,89.81,73.44,70.88,129.81,235.88,267.88,253.19,269.56,259.69,24.81,54.25,51.06,357.81
WS50M,2011,4,3.98,3.66,4.55,5.48,6.9,5.87,5.6,4.95,3.6,4.16,4.38,4.77
WS50M,2012,4.38,4.55,4.35,4,6.27,6.76,6.75,6.33,4.48,3.41,3.81,4.11,4.94
WS50M,2013,4.25,4.67,4.5,4.62,6.31,6.89,7.76,6.24,4.09,3.67,3.74,3.94,5.06
WS50M,2014,4.43,4.44,3.38,3.89,4.94,7,7.45,4.73,5.45,3.98,4.07,4.55,4.86
WS50M,2015,4.37,4.08,4.03,4.49,5.66,6.38,6.72,5.79,3.83,3.84,4.97,4.08,4.86
WS50M,2016,4.02,4.55,4.29,4.27,6,5.63,6.7,5.91,5.61,4.11,3.45,3.94,4.88
WS50M,2017,3.98,3.87,4.33,4.84,5.47,5.92,7.3,5.18,3.7,3.29,4.48,4.43,4.74
WS50M,2018,3.73,4.16,3.84,4.3,4.85,5.82,7.14,7.14,4.31,3.7,3.71,4.43,4.77
WS50M,2019,4.4,4.77,4.73,4.3,5.36,5.65,7.26,6.16,5.2,3.66,3.51,4.23,4.94
