-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2011 through 12/31/2021 ,,,,,,,,,,,,,,
Location: Latitude  18.4173   Longitude 79.1756 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 251.41 meters,,,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) ,,,,,,,,,,,,,,
WD50M                   MERRA-2 Wind Direction at 50 Meters (Degrees) ,,,,,,,,,,,,,,
WS50M                   MERRA-2 Wind Speed at 50 Meters (m/s) ,,,,,,,,,,,,,,
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,,,,,,,
WS10M_RANGE             MERRA-2 Wind Speed at 10 Meters Range (m/s) ,,,,,,,,,,,,,,
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WD10M,2011,89.62,141.81,145.25,161.75,278,267.31,267.62,256.19,285.88,29.62,61.81,59.69,263.12
WD10M,2012,140.88,97.44,37.62,184.19,324.31,277.94,268.19,266.5,281.44,27.06,43.44,114.38,274
WD10M,2013,128.44,138.69,166.94,183.38,250.38,266.88,268.19,279.31,280.06,355.12,33.44,83.81,252.88
WD10M,2014,139,160.88,157.75,180.25,221,272.31,275.06,278.81,295.38,29.25,60,66.5,264.94
WD10M,2015,69.56,145.69,143.19,198.06,221.88,263.56,284.62,292.5,296.56,73.19,84.62,131.38,251.88
WD10M,2016,108.44,162.81,163.44,186.56,241.56,258.31,260.5,280.31,302.19,333.31,7.12,20.75,265
WD10M,2017,75,68,178.44,257.25,208.69,262.69,266.62,277.62,287.75,30.88,53,77.38,272.25
WD10M,2018,47.5,100.44,146.25,170.38,179.25,262.06,273.62,286.38,309.5,36.75,84.62,38.62,269.31
WD10M,2019,87.69,103.25,158.38,171.62,202.88,239.19,257.38,270,239.25,41.25,34.75,87.44,229.44
WD10M,2020,84.31,93.56,143.75,161.12,142.69,264.5,240.56,260.88,285.62,12.25,40.12,95.31,202.25
WD10M,2021,138.12,86.62,88.88,144.5,196.56,268.38,261.12,263.69,253.5,12.06,57.62,53.38,243.94
WD50M,2011,95.25,143.62,150.69,161.81,272.94,266.44,265.62,253.62,284.56,28.69,62.06,58.62,260.25
WD50M,2012,136.31,93.31,35.5,184.5,320.12,275.81,267.19,264.56,279.88,23.88,41.81,117.88,272.06
WD50M,2013,127.06,139.38,166.06,184.31,248.5,265.88,267.69,278.38,277.19,353.62,30.81,85.81,252.06
WD50M,2014,141.19,160.94,156.62,181.12,219.75,270.38,274.06,275.69,294.25,32.06,62.31,68.5,259.44
WD50M,2015,67.88,148.19,140.69,196.12,218.19,263.38,283,291.12,292.56,77.81,88,130.5,243.88
WD50M,2016,106.69,162.75,163.81,186.62,242.62,256.19,258.56,279.12,300.38,331.88,5.62,18.62,267.19
WD50M,2017,73.62,69.69,178.88,250,209.06,260.38,265.25,274.81,282.44,24.94,53.88,77.56,267.56
WD50M,2018,47.88,102.81,151.06,169.88,179.5,258.81,272.69,285.62,308.62,35.69,88.88,40,269.19
WD50M,2019,89,99.19,154.5,172.19,212.94,238.12,256.31,269.06,236.25,38.5,32.44,86.25,227.88
WD50M,2020,81.94,90.88,139.38,159.75,139.94,262.62,237.56,259.44,282.5,10.44,36.5,98.56,199.44
WD50M,2021,142.75,87.56,90.44,146.69,196.94,265.81,257.94,260.31,250.62,8.81,55.62,51.94,238.81
WS50M,2011,3.84,3.8,3.91,4.7,4.77,6.88,6.09,5.82,5.16,3.74,3.76,3.93,4.7
WS50M,2012,4.22,4.38,4.17,4.75,5.05,6.6,6.63,6.21,4.74,3.34,3.87,3.75,4.81
WS50M,2013,4.13,4.27,4.7,4.8,5.98,6.7,7.6,5.91,3.95,4.17,3.77,3.99,5.01
WS50M,2014,3.91,4.31,3.34,3.59,4.83,6.84,7.51,4.7,5.45,4.28,4.05,3.88,4.73
WS50M,2015,4.36,4.06,3.98,4.34,5.52,6.55,6.47,5.52,3.81,3.66,4.38,4.03,4.73
WS50M,2016,3.93,4.84,4.66,4.85,5.86,5.59,6.48,5.77,5.55,4.49,3.8,3.76,4.97
WS50M,2017,3.61,3.53,4.14,4.14,5.36,5.94,7.27,5.01,3.91,3,3.77,3.3,4.42
WS50M,2018,3.31,4.04,3.7,4.33,5.28,5.52,7.03,6.95,4.29,3.84,3.41,4.12,4.66
WS50M,2019,4.24,4.05,4.73,4.83,4.53,5.76,7.13,5.94,5.12,3.11,3.16,3.37,4.67
