-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2011 through 12/31/2021 ,,,,,,,,,,,,,,
Location: Latitude  17.2669   Longitude 80.1836 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 201.88 meters,,,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) ,,,,,,,,,,,,,,
WD50M                   MERRA-2 Wind Direction at 50 Meters (Degrees) ,,,,,,,,,,,,,,
WS50M                   MERRA-2 Wind Speed at 50 Meters (m/s) ,,,,,,,,,,,,,,
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,,,,,,,
WS10M_RANGE             MERRA-2 Wind Speed at 10 Meters Range (m/s) ,,,,,,,,,,,,,,
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WD10M,2011,79.69,137.31,153,159.56,201.44,265.19,264.75,252.75,287.5,47.88,78.5,75.62,206.5
WD10M,2012,155,136.25,129.56,173.62,162.38,280.38,268.69,265.38,282.5,27.12,52.44,109.62,228.25
WD10M,2013,133,142.44,169.62,176.44,216.12,266.44,266.94,283.19,277.81,357.25,31.69,50,233.56
WD10M,2014,125.75,156.12,157.06,179.25,180.19,275.31,278.38,266.81,294.75,39.44,60.81,80.5,237.62
WD10M,2015,79.62,153.19,163.12,179.31,180.69,255.06,284.44,291.19,260.81,85,82.81,136.31,192.81
WD10M,2016,134.06,164.25,166.56,179.62,225.06,250,260.75,282.69,298.38,337.12,9.56,26.5,243.38
WD10M,2017,70.88,113.31,176.38,189.88,187,262.31,267.88,273.44,276.19,30.75,35.19,57.88,247
WD10M,2018,45.31,128,169.44,170.62,167.94,254,275.38,290.88,318.56,35.69,81.94,50.62,237.62
WD10M,2019,107.5,154.56,168.06,172.5,173.44,235.5,255.56,270.12,226.56,83.38,42.81,88.56,194.44
WD10M,2020,102.56,120.56,163.75,163.25,156.44,257.12,230.44,257.44,256.88,3.88,45.44,65.94,179.56
WD10M,2021,131.38,114.69,148.69,150.75,174.62,270.12,257.12,264.62,253.31,13.25,65.62,62.94,212.75
WD50M,2011,83.12,139.94,155.69,160,201.81,264.62,263.12,250.25,287.62,48.25,81.25,78.5,202.12
WD50M,2012,154.06,138.12,131.94,174.19,167.62,278,268.06,263.12,281.25,23.06,52,113.62,227
WD50M,2013,134.31,143.44,169.62,176.38,217.19,265.38,266.31,282.38,274.5,357.69,29.56,48.69,234.94
WD50M,2014,128.94,156.12,157.69,179.38,181.75,273.88,277.44,263.62,294.19,43.88,62.12,83.38,228.62
WD50M,2015,76.69,155.62,162.88,178.81,181.62,254.06,282.94,290.19,257.12,90.88,85.31,135.69,192
WD50M,2016,134.56,164.56,166.69,179.56,227.12,249.06,258.38,281.25,295.94,336.12,8.5,25.62,249.06
WD50M,2017,71.62,121.75,175.62,188.94,188.62,259.56,265.88,271.06,270.75,25,35.88,58.25,244.88
WD50M,2018,46.75,132.75,171.06,169.75,168.19,251.88,274.31,290.5,318.81,35.38,85.38,53.44,240.25
WD50M,2019,108.31,152.44,167.31,172.62,175,234.44,255.12,269.56,222.94,83.38,40.81,90.62,193.44
WD50M,2020,102.5,118.31,162.25,162.94,154,254.62,227.62,256,255.81,2.06,44.94,66.12,179.94
WD50M,2021,135.56,121.88,156.38,151.62,177.94,267.62,255.38,261.75,250.38,10.31,66.94,65.94,209.81
WS50M,2011,3.54,3.88,3.99,4.74,4.5,6.59,5.98,5.52,5,3.68,4.21,3.88,4.62
WS50M,2012,4.78,3.98,3.93,5.07,4.61,6.34,6.19,5.84,4.52,3.77,4.28,3.88,4.77
WS50M,2013,3.99,4.12,4.49,4.87,6,6.32,7.15,5.41,3.86,4.36,3.9,3.82,4.87
WS50M,2014,3.37,4.21,3.41,3.8,4.68,6.41,7.18,4.83,5.3,4.22,4.26,3.66,4.61
WS50M,2015,4.32,3.89,3.77,4.53,5.12,6.15,6.02,4.8,3.73,3.54,4.55,4.34,4.57
WS50M,2016,3.62,4.93,4.84,5.36,5.62,5.44,5.81,5.56,5.02,5.02,4.25,4.12,4.96
WS50M,2017,3.59,3.39,4.25,4.1,4.97,5.56,6.62,4.75,3.91,3.16,3.8,3.48,4.3
WS50M,2018,3.12,3.58,3.63,4.49,5.18,5.36,6.61,6.71,3.89,3.94,4.02,4.05,4.55
WS50M,2019,3.95,3.96,4.75,4.93,4.87,5.36,6.44,5.77,4.99,2.73,3.68,3.94,4.62
