-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2011 through 12/31/2021 ,,,,,,,,,,,,,,
Location: Latitude  18.7323   Longitude 78.2527 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 427.72 meters,,,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) ,,,,,,,,,,,,,,
WD50M                   MERRA-2 Wind Direction at 50 Meters (Degrees) ,,,,,,,,,,,,,,
WS50M                   MERRA-2 Wind Speed at 50 Meters (m/s) ,,,,,,,,,,,,,,
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,,,,,,,
WS10M_RANGE             MERRA-2 Wind Speed at 10 Meters Range (m/s) ,,,,,,,,,,,,,,
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WD10M,2011,92.56,120.75,95.56,154.19,306.56,262.44,265.25,259.19,277.44,47.5,72.5,74.38,276.62
WD10M,2012,108,92.25,35.44,219.81,333.69,274.25,265.69,266.69,272.69,73.81,60.44,104.38,292.38
WD10M,2013,120.44,130,154.25,188.44,294.88,265.12,264.5,277.69,280.44,1.56,68.94,102.81,254.38
WD10M,2014,125.62,138,133.44,183.19,257.12,273.69,271.25,278.56,289.56,57.12,74.81,87.44,253.44
WD10M,2015,94.38,131.25,118.12,208,295,265.81,277.75,291.81,294.25,78.75,85.56,89.06,279.06
WD10M,2016,99.44,151.69,129.31,196.38,266.62,269.56,262.25,273.94,306.88,344,51.25,56.56,282.94
WD10M,2017,90.62,84.31,146.25,311.62,280.81,262.88,263.75,278.06,295.88,45.5,73.56,93.19,284.12
WD10M,2018,61.19,107.75,122.44,187.88,212.44,262.75,267.5,281.94,314.5,63.81,85.88,63.56,288.19
WD10M,2019,98,86.75,101,153.5,339.12,259.44,258.69,269.88,249.5,71,78,102.56,259.25
WD10M,2020,102.19,90.5,103.31,147,4.12,265.25,245.94,257.81,288.25,29.69,70.38,110.06,170.44
WD10M,2021,122.75,92.31,96.88,127.81,258.94,270.62,263.88,272.25,262.25,34.06,66.12,70.38,270.5
WD50M,2011,95.94,121.56,101.62,153.56,305.19,262.25,264.5,258.06,276.94,48.31,71.75,74.31,276.44
WD50M,2012,104.94,92.88,39,209.62,332.62,273.19,265.38,265.62,270.94,74.5,64.19,103.44,292.25
WD50M,2013,117.31,129.06,149.81,185.69,294.06,264.81,264.38,277.12,278.44,2.19,69.38,104.81,248.12
WD50M,2014,124.94,135.06,131.12,178.25,251.25,272.19,270.69,278.06,290.38,60.38,77.5,89.06,230.25
WD50M,2015,93.56,131.69,115.81,202.62,290.12,264.94,277.12,291.06,293.31,81.69,87.75,89.56,267.38
WD50M,2016,99.44,147.38,120.88,190.75,264.31,267.56,261.12,273.81,306,344.12,52.06,58.19,283.81
WD50M,2017,92.38,87.75,145.81,306.06,274.56,261.69,263.56,276.56,294.38,50.56,77.56,94.81,277.25
WD50M,2018,64.12,111.44,126.38,179.88,206.75,260.38,267.12,281.88,314.88,66.69,87.25,65.75,285.94
WD50M,2019,100,87.81,96.31,151.56,338.56,257.44,257.88,269.56,247.62,71.94,79.44,102.31,242.31
WD50M,2020,101.38,90.19,101.81,144.56,14.69,264.81,244.44,257.44,287.44,29.69,70.75,112.88,144.25
WD50M,2021,123.56,94.75,100.06,129.81,252.69,269.69,261.94,269,261.56,34.62,65.38,69.06,245.5
WS50M,2011,4.58,4.64,4.33,4.57,5.33,7.66,6.73,6.16,5.35,3.83,4.91,5,5.26
WS50M,2012,4.48,4.9,4.64,4.21,6.29,6.89,7.1,6.71,4.94,3.9,4.63,4.79,5.3
WS50M,2013,4.77,5.21,5.14,4.72,5.89,7.12,8.09,6.24,4.22,4.09,4.26,4.6,5.37
WS50M,2014,5.16,4.91,3.98,3.68,4.62,6.9,7.76,5.11,5.57,4.52,4.84,4.88,5.16
WS50M,2015,5.05,4.66,4.46,4.11,5.39,7,7.17,5.55,4.08,4.39,5.27,4.25,5.12
WS50M,2016,4.23,4.63,4.45,4.16,6.01,6.02,6.88,6.5,5.79,4.09,3.74,4.27,5.07
WS50M,2017,4.43,4.35,4.58,4.16,5.43,6.28,7.9,5.45,3.95,3.55,4.74,4.8,4.98
WS50M,2018,4.14,4.59,3.99,4.25,4.7,6.12,7.96,7.45,4.39,4.66,4.41,4.62,5.12
WS50M,2019,4.87,4.91,4.78,4.52,5.09,5.93,7.71,6.66,5.41,3.84,4.03,4.79,5.22
